"ZipCode";"Name"
"01400";"L'Abergement-Clémenciat"
"01640";"L'Abergement-de-Varey"
"01500";"Ambérieu-en-Bugey"
"01330";"Ambérieux-en-Dombes"
"01300";"Ambléon"
"01500";"Ambronay"
"01500";"Ambutrix"
"01300";"Andert-et-Condon"
"01350";"Anglefort"
"01100";"Apremont"
"01110";"Aranc"
"01230";"Arandas"
"01100";"Arbent"
"01300";"Arboys en Bugey"
"01190";"Arbigny"
"01230";"Argis"
"01510";"Armix"
"01480";"Ars-sur-Formans"
"01510";"Artemare"
"01570";"Asnières-sur-Saône"
"01340";"Attignat"
"01380";"Bâgé-Dommartin"
"01380";"Bâgé-le-Châtel"
"01360";"Balan"
"01990";"Baneins"
"01270";"Beaupont"
"01480";"Beauregard"
"01100";"Bellignat"
"01360";"Béligneux"
"01200";"Bellegarde-sur-Valserine"
"01300";"Belley"
"01130";"Belleydoux"
"01260";"Belmont-Luthézieu"
"01470";"Bénonces"
"01370";"Bény"
"01350";"Béon"
"01340";"Béréziat"
"01500";"Bettant"
"01290";"Bey"
"01700";"Beynost"
"01200";"Billiat"
"01330";"Birieux"
"01290";"Biziat"
"01150";"Blyes"
"01120";"La Boisse"
"01190";"Boissey"
"01380";"Boissey"
"01450";"Bolozon"
"01330";"Bouligneux"
"01000";"Bourg-en-Bresse"
"01800";"Bourg-Saint-Christophe"
"01640";"Boyeux-Saint-Jérôme"
"01190";"Boz"
"01300";"Brégnier-Cordon"
"01260";"Brénaz"
"01110";"Brénod"
"01300";"Brens"
"01360";"Bressolles"
"01460";"Brion"
"01470";"Briord"
"01310";"Buellas"
"01510";"La Burbanche"
"01430";"Ceignes"
"01450";"Cerdon"
"01240";"Certines"
"01170";"Cessy"
"01250";"Ceyzériat"
"01350";"Ceyzérieu"
"01320";"Chalamont"
"01480";"Chaleins"
"01230";"Chaley"
"01450";"Challes-la-Montagne"
"01630";"Challex"
"01260";"Champagne-en-Valromey"
"01110";"Champdor-Corcelles"
"01410";"Champfromier"
"01420";"Chanay"
"01990";"Chaneins"
"01400";"Chanoz-Châtenay"
"01240";"La Chapelle-du-Châtelard"
"01130";"Charix"
"01800";"Charnoz-sur-Ain"
"01500";"Château-Gaillard"
"01320";"Châtenay"
"01200";"Châtillon-en-Michaille"
"01320";"Châtillon-la-Palud"
"01400";"Châtillon-sur-Chalaronne"
"01190";"Chavannes-sur-Reyssouze"
"01250";"Nivigne et Suran"
"01660";"Chaveyriat"
"01510";"Chavornay"
"01300";"Chazey-Bons"
"01510";"Chazey-Bons"
"01150";"Chazey-sur-Ain"
"01510";"Cheignieu-la-Balme"
"01430";"Chevillard"
"01190";"Chevroux"
"01170";"Chevry"
"01410";"Chézery-Forens"
"01200";"Chézery-Forens"
"01390";"Civrieux"
"01250";"Cize"
"01230";"Cleyzieu"
"01270";"Coligny"
"01550";"Collonges"
"01300";"Colomieu"
